Potential (keV),Cathode Radius (m),Anode Radius (m),Fusion Rate (m^2/sec)
80,0.05,0.085,12092271301
90,0.05,0.085,13846395662
100,0.05,0.085,15481690312
110,0.05,0.085,18467719911
120,0.05,0.085,21024549233
130,0.05,0.085,28023432700
140,0.05,0.085,28273101875
150,0.05,0.085,35115449267
160,0.05,0.085,35106694799
170,0.05,0.085,41126378851
