Potential (keV),Cathode Radius (m),Anode Radius (m),Fusion Rate (m^2/sec)
-100.0,0.07650000000000001,0.085,590197621.6297585
-100.0,0.2,0.085,843655609.1974955
-100.0,0.068,0.085,546815040.002912
-100.0,0.0425,0.085,798965878.7604902
-100.0,0.0085,0.085,1573965785.4125202
-100.0,0.028333333333333335,0.085,1401341451.1325076
-100.0,0.06375,0.085,911326672.0460097
-100.0,0.03642857142857143,0.085,775029781.4037462
-100.0,0.017,0.085,1500518916.2876015
-100.0,0.08075,0.085,4394100624.807075
